Revenue_Month,Monthly_Revenue
2022-01,190064.90
2022-02,197529.18
2022-03,210228.48
2022-04,179004.18
2022-05,212028.70
2022-06,198318.98
2022-07,231208.13
2022-08,203503.40
2022-09,158952.74
2022-10,200423.07
2022-11,202365.13
2022-12,226340.81
2023-01,247207.80
2023-02,215146.55
2023-03,212397.10
2023-04,253354.48
2023-05,236271.38
2023-06,243603.42
2023-07,218664.85
2023-08,233256.77
2023-09,227638.37
2023-10,248095.23
2023-11,242019.94
2023-12,236037.31
2024-01,234650.29
2024-02,200891.75
2024-03,263664.98
2024-04,225960.88
2024-05,248901.48
2024-06,213366.79
2024-07,233256.77
2024-08,234863.77
2024-09,240869.83
2024-10,247456.61
2024-11,230600.64
2024-12,247207.80
2025-01,277874.74
2025-02,262318.88
2025-03,293722.84
2025-04,206982.63
2025-05,225774.67
2025-06,216983.57
2025-07,310327.16
2025-08,311949.14
2025-09,304304.79
2025-10,359699.69
2025-11,304194.50
2025-12,332129.99
