Revenue_Month,Product_Category,Transaction_Count,Average_Transaction_Size,Category_Revenue
2022-01,"Technology & Accessories",287,406.78,116744.81
2022-01,Textbooks,246,177.25,43602.82
2022-01,"Books (General)",295,36.29,10705.31
2022-01,"Apparel and Merchandise",260,32.00,8321.14
2022-01,"Art Supplies",263,30.90,8125.76
2022-01,"Stationery and Supplies",247,10.38,2565.06
2022-02,"Technology & Accessories",287,466.12,133775.12
2022-02,Textbooks,220,176.03,38726.96
2022-02,"Books (General)",281,30.81,8658.81
2022-02,"Art Supplies",229,31.05,7111.45
2022-02,"Apparel and Merchandise",210,31.30,6572.25
2022-02,"Stationery and Supplies",246,10.91,2684.59
2022-03,"Technology & Accessories",319,434.93,138741.90
2022-03,Textbooks,255,179.60,45798.15
2022-03,"Apparel and Merchandise",247,33.79,8345.17
2022-03,"Books (General)",235,32.03,7527.35
2022-03,"Art Supplies",232,31.24,7247.35
2022-03,"Stationery and Supplies",243,10.57,2568.56
2022-04,"Technology & Accessories",271,387.06,104893.91
2022-04,Textbooks,287,176.49,50652.97
2022-04,"Apparel and Merchandise",221,31.82,7032.77
2022-04,"Books (General)",242,28.34,6859.03
2022-04,"Art Supplies",226,30.27,6841.63
2022-04,"Stationery and Supplies",247,11.03,2723.87
2022-05,"Technology & Accessories",290,434.24,125929.83
2022-05,Textbooks,321,186.62,59906.54
2022-05,"Books (General)",264,31.69,8367.03
2022-05,"Apparel and Merchandise",245,31.69,7762.91
2022-05,"Art Supplies",235,32.37,7608.12
2022-05,"Stationery and Supplies",236,10.40,2454.27
2022-06,"Technology & Accessories",264,478.94,126439.66
2022-06,Textbooks,262,181.92,47663.45
2022-06,"Books (General)",279,30.05,8384.00
2022-06,"Apparel and Merchandise",226,31.68,7159.43
2022-06,"Art Supplies",198,30.45,6029.32
2022-06,"Stationery and Supplies",258,10.24,2643.12
2022-07,"Technology & Accessories",303,512.03,155146.35
2022-07,Textbooks,263,183.53,48268.19
2022-07,"Books (General)",297,34.24,10170.23
2022-07,"Apparel and Merchandise",264,30.77,8122.23
2022-07,"Art Supplies",210,32.00,6720.00
2022-07,"Stationery and Supplies",267,10.42,2781.13
2022-08,"Technology & Accessories",303,423.52,128326.56
2022-08,Textbooks,279,183.67,51244.40
2022-08,"Books (General)",273,30.34,8281.87
2022-08,"Apparel and Merchandise",236,28.96,6834.30
2022-08,"Art Supplies",213,27.67,5894.12
2022-08,"Stationery and Supplies",265,11.03,2922.15
2022-09,"Technology & Accessories",238,386.36,91952.73
2022-09,Textbooks,248,175.44,43509.63
2022-09,"Books (General)",245,30.94,7580.35
2022-09,"Art Supplies",219,31.66,6933.62
2022-09,"Apparel and Merchandise",216,30.62,6614.38
2022-09,"Stationery and Supplies",250,9.45,2362.03
2022-10,"Technology & Accessories",282,433.55,122260.51
2022-10,Textbooks,281,178.42,50134.86
2022-10,"Books (General)",301,33.37,10043.62
2022-10,"Art Supplies",238,32.47,7727.10
2022-10,"Apparel and Merchandise",237,31.94,7568.96
2022-10,"Stationery and Supplies",254,10.58,2688.02
2022-11,"Technology & Accessories",288,437.05,125870.20
2022-11,Textbooks,287,181.69,52143.68
2022-11,"Apparel and Merchandise",250,32.50,8126.10
2022-11,"Books (General)",239,29.48,7046.53
2022-11,"Art Supplies",221,28.25,6242.92
2022-11,"Stationery and Supplies",266,11.04,2935.70
2022-12,"Technology & Accessories",291,487.62,141896.02
2022-12,Textbooks,305,184.67,56323.59
2022-12,"Apparel and Merchandise",259,33.99,8802.20
2022-12,"Books (General)",271,32.45,8793.49
2022-12,"Art Supplies",221,34.32,7584.56
2022-12,"Stationery and Supplies",287,10.25,2940.95
2023-01,"Technology & Accessories",382,462.33,176610.34
2023-01,Textbooks,203,168.95,34297.45
2023-01,"Apparel and Merchandise",354,33.89,11997.04
2023-01,"Books (General)",317,37.59,11914.83
2023-01,"Art Supplies",270,33.07,8929.77
2023-01,"Stationery and Supplies",328,10.54,3458.37
2023-02,"Technology & Accessories",339,462.39,156748.57
2023-02,Textbooks,171,170.60,29171.94
2023-02,"Apparel and Merchandise",291,32.53,9467.64
2023-02,"Art Supplies",261,31.90,8326.85
2023-02,"Books (General)",284,29.19,8289.97
2023-02,"Stationery and Supplies",302,10.40,3141.58
